                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2626,                 6.3308,                  4.218,                0.00053,                0.11801,                0.00048,                0.00012,                  4.729,                 6.5682,                 4.1814,             0.00065248,             0.00065248,             0.00065248
                      2,                 3.0002,                  3.725,                 3.1494,                0.00057,                0.04969,                0.00042,                  9e-05,                 4.7973,                 5.5656,                 4.5331,              0.0013165,              0.0013165,              0.0013165
                      3,                 2.0894,                 2.4327,                 2.2065,                0.39859,                0.17391,                0.20812,                0.10872,                 2.8106,                 3.1275,                 2.7598,               0.001978,               0.001978,               0.001978
                      4,                   1.78,                 1.7803,                 1.8171,                0.53636,                 0.7205,                0.62036,                0.33186,                 1.5191,                 1.7406,                 1.6627,              0.0019881,              0.0019881,              0.0019881
                      5,                 1.5763,                  1.408,                 1.5941,                0.75603,                0.84472,                0.81207,                0.49525,                 1.4895,                 1.4264,                 1.6515,              0.0019881,              0.0019881,              0.0019881
                      6,                  1.384,                 1.1639,                 1.4724,                0.85257,                 0.8882,                0.90219,                0.60085,                 1.2695,                 1.2831,                 1.4733,              0.0019842,              0.0019842,              0.0019842
                      7,                 1.3135,                 1.0341,                 1.3781,                 0.8877,                0.73649,                0.89351,                0.61447,                 1.2671,                 1.4553,                 1.4269,              0.0019802,              0.0019802,              0.0019802
                      8,                 1.3323,                 1.0337,                 1.3687,                0.83512,                0.95652,                0.93077,                0.63797,                 1.1657,                0.88954,                 1.3675,              0.0019762,              0.0019762,              0.0019762
                      9,                 1.2416,                0.94232,                 1.3026,                0.87171,                0.89441,                0.94123,                0.67515,                 1.0784,                0.84351,                 1.3046,              0.0019723,              0.0019723,              0.0019723
                     10,                 1.1495,                0.83227,                  1.259,                0.93078,                0.91878,                0.97459,                0.69682,                  1.107,                0.76646,                  1.288,              0.0019683,              0.0019683,              0.0019683
                     11,                 1.1306,                0.79639,                 1.2398,                0.94064,                0.88582,                0.94697,                0.67265,                 1.1216,                0.83708,                 1.2532,              0.0019644,              0.0019644,              0.0019644
                     12,                 1.1098,                0.75064,                 1.2302,                0.97035,                0.88199,                0.97644,                 0.7267,                0.99689,                 0.7135,                 1.1988,              0.0019604,              0.0019604,              0.0019604
                     13,                 1.0799,                0.72218,                 1.1949,                0.96109,                0.92061,                0.98109,                0.71312,                 1.0134,                0.72471,                 1.2265,              0.0019564,              0.0019564,              0.0019564
                     14,                 1.0201,                 0.6878,                 1.1589,                0.89767,                0.73913,                0.80545,                0.53299,                 1.3041,                  1.356,                 1.4598,              0.0019525,              0.0019525,              0.0019525
                     15,                  1.031,                0.67507,                 1.1891,                0.91134,                0.97516,                0.97308,                 0.7529,                0.94469,                0.63076,                 1.1744,              0.0019485,              0.0019485,              0.0019485
                     16,                 1.0181,                0.65585,                 1.1471,                0.94554,                0.88199,                0.92202,                0.69793,                 1.0035,                 0.7885,                 1.1946,              0.0019446,              0.0019446,              0.0019446
                     17,                0.97516,                0.63823,                  1.147,                0.92979,                0.90484,                0.94647,                0.69009,                0.98448,                0.69401,                  1.209,              0.0019406,              0.0019406,              0.0019406
                     18,                0.95764,                0.62858,                 1.1316,                0.97999,                0.91238,                 0.9578,                0.75013,                0.91984,                0.71732,                 1.1377,              0.0019366,              0.0019366,              0.0019366
                     19,                0.93242,                0.60581,                 1.1056,                0.96078,                0.91291,                0.95655,                 0.7524,                0.92026,                0.66239,                 1.1333,              0.0019327,              0.0019327,              0.0019327
                     20,                0.94093,                0.60686,                 1.1427,                0.82978,                0.86335,                0.85474,                0.66069,                0.89332,                0.95297,                 1.1292,              0.0019287,              0.0019287,              0.0019287
                     21,                0.93354,                0.59616,                 1.1302,                0.92752,                0.87435,                0.95165,                0.67146,                  1.039,                0.77132,                 1.2254,              0.0019248,              0.0019248,              0.0019248
                     22,                0.89719,                0.57936,                 1.0915,                0.95801,                0.99379,                0.98524,                0.75352,                0.92593,                 0.6256,                 1.1415,              0.0019208,              0.0019208,              0.0019208
                     23,                0.86825,                 0.5477,                 1.0909,                0.97948,                0.98758,                0.99298,                0.78794,                0.83127,                0.50656,                 1.0856,              0.0019168,              0.0019168,              0.0019168
                     24,                0.88247,                0.55078,                 1.0883,                0.96537,                      1,                0.98748,                  0.749,                0.86672,                0.54747,                 1.1283,              0.0019129,              0.0019129,              0.0019129
                     25,                0.87234,                0.54441,                  1.077,                 0.9754,                      1,                0.98194,                0.77336,                0.81413,                0.50183,                 1.0654,              0.0019089,              0.0019089,              0.0019089
                     26,                0.84044,                0.53042,                 1.0501,                0.95878,                0.89441,                0.93112,                0.72209,                0.87325,                 1.1866,                 1.0999,               0.001905,               0.001905,               0.001905
                     27,                0.83934,                0.52542,                 1.0518,                0.95799,                      1,                0.98938,                0.80006,                0.79491,                0.50074,                 1.0707,               0.001901,               0.001901,               0.001901
                     28,                0.83752,                0.51969,                 1.0459,                0.94685,                0.99592,                0.98538,                0.77682,                0.80277,                0.48819,                 1.0812,               0.001897,               0.001897,               0.001897
                     29,                0.84251,                 0.5205,                 1.0665,                0.98169,                0.99877,                0.99089,                0.80851,                0.77714,                0.51472,                 1.0708,              0.0018931,              0.0018931,              0.0018931
                     30,                0.81863,                 0.5061,                  1.053,                0.97953,                      1,                0.98318,                0.78097,                0.82719,                0.57504,                 1.0563,              0.0018891,              0.0018891,              0.0018891
                     31,                0.81975,                0.50074,                 1.0364,                0.97882,                      1,                0.97689,                 0.7974,                0.74839,                0.46099,                 1.0438,              0.0018852,              0.0018852,              0.0018852
                     32,                0.81683,                0.49022,                  1.036,                0.98094,                      1,                 0.9822,                0.79917,                0.74473,                0.46105,                 1.0345,              0.0018812,              0.0018812,              0.0018812
                     33,                 0.8383,                0.50008,                 1.0524,                0.97974,                      1,                0.98207,                0.81205,                0.73527,                0.54292,                 1.0383,              0.0018772,              0.0018772,              0.0018772
