                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.166,                 4.4983,                 4.3049,                0.00191,                0.56378,                0.00434,                0.00116,                 2.8015,                 4.8473,                 4.1576,              0.0001125,              0.0001125,              0.0001125
                      2,                 3.0818,                 4.5029,                 4.2229,                0.00205,                0.58631,                0.00457,                 0.0012,                 2.7975,                 4.8465,                 4.1528,             0.00023703,             0.00023703,             0.00023703
                      3,                 3.0882,                 4.4181,                 4.1715,                0.00197,                0.56498,                0.02293,                0.00722,                 2.7896,                 4.8367,                  4.143,             0.00036106,             0.00036106,             0.00036106
                      4,                 3.1694,                 4.3639,                 4.1094,                0.00182,                0.54007,                0.05492,                 0.0162,                 2.7767,                 4.8166,                 4.1201,              0.0004846,              0.0004846,              0.0004846
                      5,                 3.0283,                  4.244,                 4.0362,                 0.0019,                0.56829,                 0.0126,                 0.0033,                 2.7658,                 4.7596,                 4.0705,             0.00060765,             0.00060765,             0.00060765
                      6,                 2.8172,                 4.0581,                 3.8798,                0.00189,                0.55822,                0.01512,                0.00338,                 2.7626,                 4.6966,                 4.0493,              0.0007302,              0.0007302,              0.0007302
                      7,                 2.9399,                 3.8681,                  3.834,                0.00197,                0.58511,                0.00491,                0.00115,                 2.7736,                 4.6758,                 4.1275,             0.00085225,             0.00085225,             0.00085225
                      8,                 2.9995,                 3.8348,                   3.75,                0.00256,                0.55857,                 0.0039,                0.00105,                 2.9286,                 4.6272,                 4.3239,             0.00097381,             0.00097381,             0.00097381
                      9,                 2.9212,                 3.6659,                 3.6812,                0.00277,                0.53338,                0.00574,                0.00137,                  3.295,                 4.7161,                 4.6061,              0.0010949,              0.0010949,              0.0010949
                     10,                 2.9005,                  3.674,                 3.5822,                0.00289,                0.66387,                0.00571,                0.00119,                 3.2553,                 4.7419,                 4.4701,              0.0012154,              0.0012154,              0.0012154
