                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.166,                 4.4983,                 4.3049,                0.00191,                0.56378,                0.00434,                0.00116,                 2.8015,                 4.8473,                 4.1576,              0.0001125,              0.0001125,              0.0001125
                      2,                 3.0818,                 4.5029,                 4.2229,                0.00205,                0.58631,                0.00457,                 0.0012,                 2.7975,                 4.8465,                 4.1528,             0.00023703,             0.00023703,             0.00023703
                      3,                 3.0882,                 4.4181,                 4.1715,                0.00197,                0.56498,                0.02293,                0.00722,                 2.7896,                 4.8367,                  4.143,             0.00036106,             0.00036106,             0.00036106
                      4,                 3.1694,                 4.3639,                 4.1094,                0.00182,                0.54007,                0.05492,                 0.0162,                 2.7767,                 4.8166,                 4.1201,              0.0004846,              0.0004846,              0.0004846
                      5,                 3.0283,                  4.244,                 4.0362,                 0.0019,                0.56829,                 0.0126,                 0.0033,                 2.7658,                 4.7596,                 4.0705,             0.00060765,             0.00060765,             0.00060765
                      6,                 2.8172,                 4.0581,                 3.8798,                0.00189,                0.55822,                0.01512,                0.00338,                 2.7626,                 4.6966,                 4.0493,              0.0007302,              0.0007302,              0.0007302
                      7,                 2.9399,                 3.8681,                  3.834,                0.00197,                0.58511,                0.00491,                0.00115,                 2.7736,                 4.6758,                 4.1275,             0.00085225,             0.00085225,             0.00085225
                      8,                 2.9995,                 3.8348,                   3.75,                0.00256,                0.55857,                 0.0039,                0.00105,                 2.9286,                 4.6272,                 4.3239,             0.00097381,             0.00097381,             0.00097381
                      9,                 2.9212,                 3.6659,                 3.6812,                0.00277,                0.53338,                0.00574,                0.00137,                  3.295,                 4.7161,                 4.6061,              0.0010949,              0.0010949,              0.0010949
                     10,                 2.9005,                  3.674,                 3.5822,                0.00289,                0.66387,                0.00571,                0.00119,                 3.2553,                 4.7419,                 4.4701,              0.0012154,              0.0012154,              0.0012154
                     11,                 2.8152,                 3.5729,                 3.5015,                0.78098,                0.05556,                0.03383,                0.00802,                 2.6037,                 4.2398,                 3.6641,              0.0012252,              0.0012252,              0.0012252
                     12,                 2.7499,                 3.4642,                 3.3947,                 0.8134,                 0.0641,                0.10213,                0.03639,                  2.678,                 6.2137,                 3.7666,              0.0012252,              0.0012252,              0.0012252
                     13,                 2.6646,                 3.4289,                 3.3065,                  0.343,                0.07943,                0.10325,                0.02637,                 2.5314,                 6.7352,                 3.8719,              0.0012228,              0.0012228,              0.0012228
                     14,                 2.5304,                 3.4139,                 3.2109,                0.00832,                0.22248,                0.00773,                0.00268,                    2.8,                 66.373,                 4.9404,              0.0012203,              0.0012203,              0.0012203
                     15,                 2.5147,                 3.2415,                 3.1158,                0.01691,                0.23433,                0.03568,                0.01209,                 2.7689,                 21.278,                 4.7514,              0.0012178,              0.0012178,              0.0012178
                     16,                 2.4164,                 3.2602,                 3.0964,                0.01134,                0.11937,                0.00663,                0.00097,                 2.9611,                 939.74,                  5.626,              0.0012154,              0.0012154,              0.0012154
                     17,                 2.2421,                 3.1503,                 3.0026,                0.25687,                0.02222,                0.00409,                0.00096,                 3.1082,                 911.91,                 5.6045,              0.0012129,              0.0012129,              0.0012129
                     18,                 2.4374,                 3.1036,                  3.051,                0.28445,                0.31132,                0.04874,                0.01272,                 2.7515,                 64.099,                 4.3892,              0.0012104,              0.0012104,              0.0012104
                     19,                 2.1996,                 3.0231,                  2.986,                0.07117,                0.43768,                0.11866,                0.05163,                  3.113,                 162.73,                  6.041,              0.0012079,              0.0012079,              0.0012079
                     20,                 2.1871,                 3.0015,                 2.9233,                0.07668,                 0.6208,                0.11333,                0.05059,                 2.5013,                 30.445,                 3.6917,              0.0012055,              0.0012055,              0.0012055
                     21,                 2.0637,                 2.8404,                 2.8039,                0.11407,                 0.1893,                0.11943,                0.06172,                 2.0276,                 12.259,                  3.154,               0.001203,               0.001203,               0.001203
                     22,                 2.0747,                 2.8397,                 2.7454,                0.13082,                0.32849,                0.10518,                0.05573,                 1.9998,                 4.4054,                 2.9855,              0.0012005,              0.0012005,              0.0012005
                     23,                 2.0856,                 2.8163,                 2.8093,                0.84134,                0.13739,                0.21547,                0.11279,                 1.8761,                 3.8869,                 2.8973,               0.001198,               0.001198,               0.001198
                     24,                 2.0566,                 2.6713,                  2.717,                0.21871,                0.37081,                0.24331,                0.11718,                 1.9563,                 3.1738,                 2.9887,              0.0011955,              0.0011955,              0.0011955
                     25,                 1.9519,                 2.5641,                  2.678,                0.41197,                 0.4428,                 0.3391,                0.15321,                 2.0238,                 3.0914,                 2.9687,              0.0011931,              0.0011931,              0.0011931
                     26,                  1.966,                  2.649,                 2.7235,                0.36903,                0.37399,                0.33819,                0.17356,                 1.9624,                 4.1622,                 2.9719,              0.0011906,              0.0011906,              0.0011906
                     27,                 1.9267,                 2.5333,                 2.6753,                0.34864,                0.70364,                0.44743,                0.23023,                 1.5851,                 5.4144,                 2.6029,              0.0011881,              0.0011881,              0.0011881
                     28,                 1.9209,                 2.6337,                 2.6254,                 0.3299,                0.70662,                 0.4181,                0.18482,                  1.777,                 5.2247,                 2.9306,              0.0011856,              0.0011856,              0.0011856
                     29,                 1.8685,                 2.4531,                 2.6072,                0.46201,                0.34047,                0.32517,                0.12703,                 2.0741,                  4.153,                 3.0279,              0.0011832,              0.0011832,              0.0011832
                     30,                 1.8944,                  2.483,                 2.5635,                0.31212,                0.69682,                0.43716,                0.18892,                 1.6817,                 2.5882,                 2.6432,              0.0011807,              0.0011807,              0.0011807
                     31,                 1.7668,                 2.3911,                 2.5281,                0.25755,                0.63719,                 0.4027,                0.17405,                 1.6014,                 2.7092,                 2.6078,              0.0011782,              0.0011782,              0.0011782
                     32,                 1.7477,                 2.3678,                 2.4916,                0.37604,                0.60984,                0.51128,                 0.2673,                 1.4888,                 2.3764,                 2.4608,              0.0011757,              0.0011757,              0.0011757
                     33,                 1.7985,                 2.3407,                 2.4712,                0.37534,                0.57721,                0.48878,                0.29707,                 1.4479,                 2.2906,                 2.4628,              0.0011733,              0.0011733,              0.0011733
                     34,                 1.6626,                 2.2911,                 2.4136,                0.39847,                0.61492,                0.48597,                0.29718,                 1.3682,                 2.1282,                 2.3608,              0.0011708,              0.0011708,              0.0011708
                     35,                 1.6904,                 2.2232,                 2.4729,                0.49391,                0.47628,                0.49489,                0.24807,                 1.6911,                  2.307,                 2.5647,              0.0011683,              0.0011683,              0.0011683
                     36,                 1.6251,                 2.1181,                 2.3732,                0.31068,                0.74484,                0.42679,                0.24274,                  1.537,                 2.5604,                 2.4117,              0.0011658,              0.0011658,              0.0011658
                     37,                 1.6913,                 2.1558,                  2.394,                0.50453,                0.65074,                0.55914,                0.30997,                  1.582,                 2.3218,                  2.446,              0.0011634,              0.0011634,              0.0011634
                     38,                 1.6354,                 2.1624,                 2.3736,                0.41091,                0.70771,                0.47301,                0.23701,                 1.6278,                 2.5255,                 2.4682,              0.0011609,              0.0011609,              0.0011609
                     39,                 1.5625,                 2.0048,                 2.3207,                0.40904,                0.64969,                0.55564,                0.34841,                 1.3504,                 2.3433,                 2.2782,              0.0011584,              0.0011584,              0.0011584
                     40,                 1.5991,                 2.1202,                 2.2925,                0.47246,                0.51899,                0.55058,                0.28194,                 1.5991,                 2.3788,                 2.4267,              0.0011559,              0.0011559,              0.0011559
                     41,                 1.5476,                 2.0713,                 2.2958,                0.52253,                0.64769,                0.59429,                0.33807,                 1.5837,                 2.0167,                 2.3819,              0.0011535,              0.0011535,              0.0011535
                     42,                 1.4835,                 1.9732,                  2.257,                0.49958,                0.69216,                0.57608,                0.36835,                 1.3983,                 1.9047,                 2.2706,               0.001151,               0.001151,               0.001151
                     43,                 1.4992,                 1.8773,                 2.2463,                0.51029,                0.65914,                0.54964,                0.31198,                 1.4738,                 1.9914,                  2.278,              0.0011485,              0.0011485,              0.0011485
                     44,                 1.4931,                 1.9408,                 2.2189,                 0.5544,                0.67587,                0.62497,                0.39574,                 1.2301,                 1.8855,                 2.0992,              0.0011461,              0.0011461,              0.0011461
                     45,                 1.4778,                 1.8411,                 2.2078,                0.53136,                0.80238,                0.66729,                0.44788,                 1.1472,                  1.741,                 2.0482,              0.0011436,              0.0011436,              0.0011436
                     46,                 1.4698,                 1.8524,                 2.2199,                0.42305,                0.62952,                0.65472,                0.43924,                 1.2312,                 1.8653,                 2.1717,              0.0011411,              0.0011411,              0.0011411
                     47,                 1.4371,                  1.864,                 2.1856,                0.49787,                0.70951,                0.68671,                0.46541,                 1.2364,                 1.7397,                 2.1105,              0.0011386,              0.0011386,              0.0011386
                     48,                 1.4452,                 1.8223,                 2.1887,                0.60436,                0.80966,                0.71502,                0.51419,                 1.1643,                 1.5942,                  2.074,              0.0011362,              0.0011362,              0.0011362
                     49,                 1.3414,                 1.7323,                  2.092,                0.63363,                0.67366,                0.66312,                0.48291,                 1.0749,                 1.7145,                 1.9645,              0.0011337,              0.0011337,              0.0011337
                     50,                 1.3816,                 1.8201,                 2.1384,                0.62775,                0.73323,                0.70285,                0.53465,                0.97995,                 1.5763,                 1.9318,              0.0011312,              0.0011312,              0.0011312
                     51,                 1.3249,                 1.7615,                 2.0559,                0.72293,                0.69514,                0.71182,                0.50275,                 1.0493,                 1.6432,                 1.9399,              0.0011287,              0.0011287,              0.0011287
                     52,                  1.287,                 1.6697,                 2.0409,                0.59119,                 0.7122,                0.66888,                0.49844,                 1.0153,                 1.6674,                  1.956,              0.0011263,              0.0011263,              0.0011263
                     53,                 1.3323,                 1.7136,                 2.0315,                   0.68,                0.87682,                0.74729,                0.54948,                 1.0336,                 1.4924,                 1.9618,              0.0011238,              0.0011238,              0.0011238
                     54,                 1.3237,                 1.6304,                 2.0579,                0.48188,                0.91105,                0.68472,                0.52319,                 1.0459,                 1.5061,                 1.8588,              0.0011213,              0.0011213,              0.0011213
                     55,                 1.3194,                 1.6944,                 2.0155,                0.48661,                0.87186,                0.64402,                0.44333,                 1.1724,                 1.6083,                 1.9499,              0.0011188,              0.0011188,              0.0011188
                     56,                 1.3118,                 1.5736,                   1.96,                0.63257,                0.85419,                0.76624,                0.56505,                 1.0344,                  1.362,                 1.8258,              0.0011164,              0.0011164,              0.0011164
                     57,                 1.2913,                 1.5566,                 1.9639,                0.56103,                 0.8117,                0.77225,                 0.6161,                0.89659,                 1.3099,                 1.7554,              0.0011139,              0.0011139,              0.0011139
                     58,                 1.2489,                 1.5854,                 1.9741,                0.56238,                0.87552,                 0.7656,                0.55783,                 1.1121,                 1.4639,                 1.8738,              0.0011114,              0.0011114,              0.0011114
                     59,                 1.2419,                  1.556,                 1.9772,                0.66597,                0.83482,                0.80403,                0.58642,                 1.0949,                 1.4617,                 1.8664,              0.0011089,              0.0011089,              0.0011089
                     60,                 1.2918,                 1.4878,                  1.965,                0.62817,                    0.9,                0.73243,                0.50266,                 1.1346,                 1.6863,                 1.9197,              0.0011065,              0.0011065,              0.0011065
                     61,                 1.3259,                 1.6213,                 1.9678,                0.60214,                0.82183,                0.72186,                0.48891,                 1.1258,                 1.6818,                 1.9034,               0.001104,               0.001104,               0.001104
                     62,                 1.2369,                 1.4906,                 1.9225,                0.70632,                 0.8009,                0.77294,                0.57246,                 1.0313,                 1.4066,                 1.8232,              0.0011015,              0.0011015,              0.0011015
                     63,                 1.2428,                  1.531,                 1.9225,                0.61498,                 0.8895,                0.80435,                0.62366,                0.97981,                 1.2801,                 1.7357,               0.001099,               0.001099,               0.001099
                     64,                 1.2593,                 1.5677,                 1.9241,                0.59954,                0.91321,                0.77969,                0.62397,                0.84376,                 1.2761,                 1.6563,              0.0010965,              0.0010965,              0.0010965
                     65,                 1.2031,                 1.5172,                 1.9249,                0.70745,                0.92604,                0.79559,                0.62707,                0.90189,                 1.2424,                 1.6962,              0.0010941,              0.0010941,              0.0010941
                     66,                 1.2552,                 1.5235,                 1.8983,                0.71851,                0.86007,                0.80102,                0.62965,                0.83943,                 1.3257,                 1.6334,              0.0010916,              0.0010916,              0.0010916
                     67,                 1.1319,                 1.3872,                 1.8146,                0.68798,                0.82996,                0.78991,                0.60309,                0.95783,                 1.4249,                 1.6854,              0.0010891,              0.0010891,              0.0010891
                     68,                 1.1541,                 1.4005,                 1.8522,                0.59969,                0.83723,                0.74512,                 0.4925,                 1.2741,                 1.3728,                 1.9978,              0.0010866,              0.0010866,              0.0010866
                     69,                 1.1485,                 1.3716,                 1.8348,                0.68811,                0.94581,                0.79866,                0.60109,                0.97143,                 1.2467,                 1.7367,              0.0010842,              0.0010842,              0.0010842
                     70,                 1.1444,                 1.4088,                 1.8331,                 0.6873,                0.90837,                0.79114,                0.62212,                0.86251,                  1.201,                  1.637,              0.0010817,              0.0010817,              0.0010817
                     71,                 1.1669,                 1.3884,                  1.848,                0.68672,                0.92353,                0.81695,                 0.6419,                0.84154,                 1.1204,                 1.6276,              0.0010792,              0.0010792,              0.0010792
                     72,                 1.1482,                 1.4405,                 1.8343,                0.62974,                0.82504,                0.81591,                0.65435,                0.82602,                   1.13,                 1.6068,              0.0010768,              0.0010768,              0.0010768
                     73,                 1.1012,                 1.4788,                 1.8127,                0.70124,                0.74262,                 0.7663,                 0.6199,                0.81944,                  1.196,                 1.5967,              0.0010743,              0.0010743,              0.0010743
                     74,                  1.131,                 1.3074,                 1.8097,                0.72926,                0.76187,                0.77653,                0.64634,                0.76635,                 1.1441,                 1.5208,              0.0010718,              0.0010718,              0.0010718
                     75,                 1.1565,                 1.3485,                 1.7778,                0.72101,                0.90932,                0.80542,                0.67721,                 0.7618,                 1.0478,                 1.5159,              0.0010693,              0.0010693,              0.0010693
                     76,                 1.0089,                 1.2731,                 1.7042,                0.65228,                0.92969,                0.79038,                0.61742,                0.86414,                 1.2924,                 1.5761,              0.0010669,              0.0010669,              0.0010669
                     77,                 1.0744,                 1.3442,                 1.7436,                0.71733,                0.97135,                 0.8407,                0.68082,                 0.7827,                 1.0359,                  1.519,              0.0010644,              0.0010644,              0.0010644
                     78,                 1.1137,                 1.3928,                 1.7794,                0.60277,                0.82206,                 0.7076,                0.54413,                0.90213,                 1.3161,                 1.6435,              0.0010619,              0.0010619,              0.0010619
                     79,                 1.0567,                  1.313,                 1.7034,                0.70887,                0.92827,                0.79178,                0.63027,                0.84683,                 1.0813,                 1.5557,              0.0010594,              0.0010594,              0.0010594
                     80,                0.99788,                 1.2889,                 1.6778,                 0.6919,                0.78235,                0.80071,                0.65186,                0.78942,                 1.1426,                 1.4682,               0.001057,               0.001057,               0.001057
                     81,                 1.0544,                 1.3148,                 1.6982,                0.82524,                0.78765,                 0.8159,                0.65561,                0.81996,                 1.0772,                 1.4968,              0.0010545,              0.0010545,              0.0010545
                     82,                 1.0327,                 1.3275,                 1.6924,                0.66899,                0.94353,                 0.8094,                0.64328,                0.86317,                 1.0624,                 1.5687,               0.001052,               0.001052,               0.001052
                     83,                 1.0793,                 1.2851,                 1.7265,                0.73438,                0.88351,                0.82668,                0.64618,                 0.9207,                 1.0492,                 1.6333,              0.0010495,              0.0010495,              0.0010495
                     84,                  1.043,                 1.3168,                 1.7052,                0.69198,                0.97498,                0.83843,                0.71139,                0.70555,                0.98712,                   1.42,               0.001047,               0.001047,               0.001047
                     85,                 1.0291,                 1.2807,                 1.6775,                 0.6283,                0.95056,                0.86539,                0.73963,                    0.7,                 1.0036,                 1.4479,              0.0010446,              0.0010446,              0.0010446
                     86,                 1.0356,                 1.2782,                 1.6962,                0.69702,                0.96331,                 0.8545,                0.71779,                0.74304,                0.98142,                 1.4557,              0.0010421,              0.0010421,              0.0010421
                     87,                0.99133,                  1.195,                 1.6435,                0.73052,                0.91546,                0.83071,                0.70829,                0.71219,                0.98215,                 1.4482,              0.0010396,              0.0010396,              0.0010396
                     88,                 1.0101,                 1.2536,                 1.6414,                0.82035,                0.90625,                0.85894,                 0.7341,                0.66002,                0.92439,                 1.3962,              0.0010372,              0.0010372,              0.0010372
                     89,                 1.0194,                 1.2629,                 1.6183,                0.76031,                0.98952,                0.83308,                0.69834,                0.71242,                0.89179,                 1.3998,              0.0010347,              0.0010347,              0.0010347
                     90,                 1.0179,                 1.2338,                 1.6592,                0.73435,                0.89581,                0.84801,                0.71558,                0.70336,                0.91026,                 1.3987,              0.0010322,              0.0010322,              0.0010322
                     91,                0.99285,                 1.2048,                 1.6127,                0.68906,                0.84856,                0.84499,                0.68013,                0.81786,                 1.0294,                 1.4917,              0.0010297,              0.0010297,              0.0010297
                     92,                0.98513,                 1.2397,                  1.615,                 0.6968,                 0.9395,                0.86281,                0.71051,                0.75422,                0.95662,                 1.4752,              0.0010273,              0.0010273,              0.0010273
                     93,                  1.018,                 1.2294,                 1.6275,                0.66227,                0.88112,                0.85134,                0.71881,                0.72744,                 1.0396,                 1.4003,              0.0010248,              0.0010248,              0.0010248
                     94,                0.98123,                 1.2255,                 1.5964,                0.75051,                0.96014,                0.87097,                0.76475,                0.61518,                0.88629,                 1.3303,              0.0010223,              0.0010223,              0.0010223
                     95,                0.90688,                 1.0781,                 1.5395,                0.75782,                0.92911,                0.87612,                 0.7543,                0.62114,                0.90581,                 1.3269,              0.0010198,              0.0010198,              0.0010198
                     96,                0.92696,                 1.0966,                 1.5642,                0.69871,                0.92128,                0.86137,                0.71954,                0.72646,                0.96967,                  1.426,              0.0010173,              0.0010173,              0.0010173
                     97,                0.96239,                 1.1803,                 1.5852,                0.72851,                0.95112,                0.90657,                0.75942,                0.71309,                0.92336,                 1.4148,              0.0010149,              0.0010149,              0.0010149
                     98,                0.92944,                 1.1045,                 1.5836,                0.70262,                0.94067,                0.84356,                0.67776,                0.80673,                0.97054,                  1.455,              0.0010124,              0.0010124,              0.0010124
                     99,                0.96354,                 1.1787,                 1.6156,                0.75681,                0.95438,                0.86067,                0.73303,                0.72075,                0.94044,                  1.412,              0.0010099,              0.0010099,              0.0010099
                    100,                0.93142,                 1.1519,                 1.5555,                 0.8129,                0.96094,                0.91904,                0.77852,                0.61821,                0.81086,                 1.3086,              0.0010075,              0.0010075,              0.0010075
                    101,                0.86862,                 1.0657,                 1.5288,                0.78928,                0.98872,                0.93533,                0.77947,                0.67745,                0.83911,                 1.3494,               0.001005,               0.001005,               0.001005
                    102,                0.90694,                  1.113,                  1.545,                0.78441,                 0.9435,                0.93173,                0.79973,                0.63325,                0.83593,                 1.3041,              0.0010025,              0.0010025,              0.0010025
                    103,                0.94406,                 1.1566,                   1.54,                0.75698,                0.91077,                 0.9192,                0.82128,                0.57002,                0.87032,                 1.2976,                  0.001,                  0.001,                  0.001
                    104,                0.89234,                  1.058,                 1.4957,                0.78603,                0.94938,                 0.9277,                0.81153,                0.62228,                0.86824,                 1.3135,             0.00099755,             0.00099755,             0.00099755
                    105,                0.94097,                 1.0882,                 1.5296,                0.77976,                0.95863,                0.88907,                0.76206,                0.66876,                 0.8688,                 1.3461,             0.00099507,             0.00099507,             0.00099507
                    106,                0.90964,                  1.087,                  1.534,                0.89085,                0.95563,                0.96729,                0.86249,                0.54853,                0.73011,                 1.2371,              0.0009926,              0.0009926,              0.0009926
                    107,                0.90995,                 1.0684,                 1.5268,                0.84312,                0.95312,                0.98294,                0.80914,                0.72759,                0.78239,                 1.3733,             0.00099013,             0.00099013,             0.00099013
                    108,                0.93451,                 1.0366,                 1.5687,                0.76927,                 0.9428,                0.96972,                 0.8038,                0.74806,                0.91469,                 1.3732,             0.00098765,             0.00098765,             0.00098765
                    109,                0.93033,                 1.1079,                 1.5461,                0.90615,                0.93853,                0.97408,                0.81215,                0.71561,                0.80758,                 1.3496,             0.00098518,             0.00098518,             0.00098518
                    110,                 0.8299,                  1.029,                 1.4831,                0.77917,                0.85122,                0.88321,                0.71702,                0.74367,                 1.0705,                 1.3887,              0.0009827,              0.0009827,              0.0009827
                    111,                0.87142,                 1.0085,                    1.5,                0.83538,                0.91365,                0.93163,                0.79481,                0.61458,                0.89743,                 1.2872,             0.00098022,             0.00098022,             0.00098022
                    112,                0.96391,                 1.0906,                 1.5414,                0.88584,                0.93981,                0.96052,                0.80001,                 0.7207,                0.84742,                 1.3804,             0.00097775,             0.00097775,             0.00097775
                    113,                0.94244,                 1.1518,                 1.5378,                0.82588,                0.91667,                0.91994,                0.77814,                 0.6748,                 0.8924,                  1.334,             0.00097528,             0.00097528,             0.00097528
                    114,                0.90937,                 1.0472,                    1.5,                 0.8352,                0.96009,                0.94467,                0.82807,                0.58653,                0.77917,                 1.2977,              0.0009728,              0.0009728,              0.0009728
