                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5738,                 11.627,                 4.4815,                      0,                      0,                      0,                      0,                 4.3871,                 5.6868,                 4.1639,               0.000275,               0.000275,               0.000275
                      2,                 3.6657,                 8.3119,                 4.1195,                      0,                      0,                      0,                      0,                 4.4633,                 5.6606,                 4.1948,             0.00056139,             0.00056139,             0.00056139
                      3,                 3.2257,                  6.521,                 3.5043,                      0,                      0,                      0,                      0,                 4.5676,                 5.4433,                 4.2386,             0.00084663,             0.00084663,             0.00084663
                      4,                 2.6351,                 5.3881,                 2.9944,                      0,                      0,                      0,                      0,                 4.5544,                 5.0958,                 4.2544,              0.0011307,              0.0011307,              0.0011307
                      5,                 2.4079,                 4.4923,                 2.4685,                      0,                      0,                      0,                      0,                 4.4997,                 5.5695,                 4.2381,              0.0012401,              0.0012401,              0.0012401
                      6,                 2.2183,                 4.0559,                 2.2981,                0.28956,                0.07895,                0.03707,                0.01009,                  3.076,                 4.2379,                 3.4766,              0.0012401,              0.0012401,              0.0012401
                      7,                 2.0056,                 3.7265,                 2.1127,                0.56683,                0.41113,                0.36666,                0.19997,                  1.661,                 2.8435,                  2.584,              0.0012376,              0.0012376,              0.0012376
                      8,                 1.8981,                 3.2651,                 2.0192,                0.63127,                0.52851,                0.51071,                  0.294,                 1.6832,                 2.0708,                 2.4282,              0.0012351,              0.0012351,              0.0012351
                      9,                 1.8252,                 2.8434,                 1.9688,                0.30688,                 0.6981,                0.54334,                0.28183,                 1.8667,                  2.282,                 2.3514,              0.0012327,              0.0012327,              0.0012327
                     10,                 1.6907,                 2.8087,                  1.858,                0.40458,                0.59067,                0.50222,                0.24224,                 1.8973,                 2.0802,                 2.3528,              0.0012302,              0.0012302,              0.0012302
                     11,                 1.7812,                 2.5331,                 1.8152,                 0.5627,                0.65121,                0.54023,                 0.2673,                 1.9547,                 1.9677,                 2.2698,              0.0012277,              0.0012277,              0.0012277
                     12,                  1.638,                 2.4505,                 1.6524,                0.37568,                0.78143,                0.57429,                0.39094,                 1.3753,                 1.9153,                 2.0026,              0.0012252,              0.0012252,              0.0012252
                     13,                 1.5372,                  2.376,                 1.6155,                0.42578,                0.67611,                0.58064,                0.38907,                 1.4446,                 1.8828,                 2.0425,              0.0012228,              0.0012228,              0.0012228
                     14,                 1.4898,                 2.1619,                 1.6127,                0.51665,                0.90576,                0.71259,                0.46647,                 1.3519,                 1.6359,                  1.898,              0.0012203,              0.0012203,              0.0012203
                     15,                 1.4761,                 2.1026,                    1.6,                0.53599,                0.76973,                 0.7187,                0.49514,                 1.3179,                 1.5812,                 1.8923,              0.0012178,              0.0012178,              0.0012178
                     16,                 1.4461,                 2.0298,                 1.5177,                0.60189,                0.72236,                0.77905,                 0.5478,                 1.2681,                 1.9204,                 1.8361,              0.0012154,              0.0012154,              0.0012154
                     17,                    1.4,                 1.8344,                 1.4695,                0.56819,                0.90232,                0.79876,                0.51766,                 1.3708,                 1.2621,                 1.9482,              0.0012129,              0.0012129,              0.0012129
                     18,                  1.478,                  1.791,                 1.6203,                0.75932,                0.65206,                0.80074,                0.53866,                  1.377,                  1.547,                 1.9513,              0.0012104,              0.0012104,              0.0012104
                     19,                 1.4106,                 1.7996,                 1.4658,                0.69893,                0.82663,                0.92571,                0.62602,                 1.2694,                 1.1241,                 1.8659,              0.0012079,              0.0012079,              0.0012079
                     20,                 1.3624,                 1.6465,                 1.4729,                0.73129,                0.93727,                0.93646,                0.64047,                 1.3039,                 1.1642,                 1.8205,              0.0012055,              0.0012055,              0.0012055
                     21,                 1.3417,                 1.7067,                 1.4636,                0.73216,                0.80054,                0.81136,                0.55353,                 1.3298,                 1.5394,                 1.8715,               0.001203,               0.001203,               0.001203
                     22,                 1.3241,                 1.6178,                 1.4207,                0.76832,                0.92809,                0.93287,                0.68509,                  1.092,                 1.0184,                 1.6531,              0.0012005,              0.0012005,              0.0012005
                     23,                 1.3287,                  1.529,                 1.3959,                0.69616,                0.87195,                 0.9457,                 0.6585,                 1.1907,                 1.0803,                 1.6522,               0.001198,               0.001198,               0.001198
                     24,                 1.2525,                 1.4038,                 1.3962,                0.77906,                 0.8008,                0.92624,                0.68157,                 1.0806,                 1.3695,                  1.566,              0.0011955,              0.0011955,              0.0011955
                     25,                 1.2847,                 1.3648,                 1.3593,                0.86802,                0.92733,                0.94989,                 0.7198,                 1.0434,                0.89168,                 1.5502,              0.0011931,              0.0011931,              0.0011931
                     26,                 1.3395,                 1.3527,                 1.4326,                0.91855,                0.91975,                0.97349,                0.69438,                 1.0612,                0.81277,                 1.5367,              0.0011906,              0.0011906,              0.0011906
                     27,                 1.2255,                 1.2343,                 1.2877,                0.88767,                0.92993,                0.95643,                0.70488,                  1.025,                0.99809,                 1.5098,              0.0011881,              0.0011881,              0.0011881
                     28,                 1.2972,                 1.2566,                 1.3866,                0.88168,                 0.9973,                0.94785,                0.70931,                 1.0388,                0.80726,                 1.5405,              0.0011856,              0.0011856,              0.0011856
                     29,                 1.2207,                 1.2272,                  1.303,                0.86954,                0.96056,                0.94549,                0.70141,                  1.014,                0.84931,                 1.5239,              0.0011832,              0.0011832,              0.0011832
                     30,                  1.225,                 1.2239,                 1.3396,                0.88716,                0.97729,                0.94555,                0.73607,                0.99073,                0.83055,                 1.4948,              0.0011807,              0.0011807,              0.0011807
                     31,                 1.2057,                 1.2223,                 1.2967,                0.87035,                0.97673,                0.95267,                0.70529,                 1.0196,                 0.7989,                  1.511,              0.0011782,              0.0011782,              0.0011782
                     32,                 1.1084,                 1.0641,                  1.225,                0.85334,                0.95131,                0.98122,                0.73101,                 1.1086,                0.87117,                 1.5448,              0.0011757,              0.0011757,              0.0011757
                     33,                 1.1397,                 1.0663,                  1.273,                0.86178,                0.95165,                0.96597,                0.66458,                 1.1566,                 1.0593,                 1.5757,              0.0011733,              0.0011733,              0.0011733
                     34,                 1.1213,                 1.1224,                 1.2371,                0.91452,                0.90721,                0.97664,                0.72163,                 1.0363,                 0.7751,                 1.4406,              0.0011708,              0.0011708,              0.0011708
                     35,                 1.1779,                 1.0995,                  1.286,                0.77278,                0.96325,                0.95724,                0.72466,                0.94141,                 1.2285,                 1.4056,              0.0011683,              0.0011683,              0.0011683
                     36,                 1.1692,                 1.0658,                 1.3003,                0.83949,                0.96356,                0.96268,                0.72221,                 1.0101,                0.87617,                 1.4784,              0.0011658,              0.0011658,              0.0011658
                     37,                 1.1341,                 1.0349,                 1.2714,                0.86184,                      1,                0.95235,                0.70446,                  1.034,                0.69812,                 1.4511,              0.0011634,              0.0011634,              0.0011634
                     38,                 1.2054,                 1.0432,                 1.2976,                  0.875,                0.97956,                 0.9675,                0.71696,                0.98905,                0.91408,                 1.4432,              0.0011609,              0.0011609,              0.0011609
                     39,                 1.1632,                 1.1034,                 1.2811,                 0.8826,                      1,                0.98866,                0.74545,                 1.0265,                 0.8654,                 1.4794,              0.0011584,              0.0011584,              0.0011584
                     40,                 1.1479,                 1.0766,                 1.2674,                0.88252,                0.99878,                0.96922,                0.69037,                 1.1506,                0.92926,                  1.535,              0.0011559,              0.0011559,              0.0011559
                     41,                 1.1894,                 1.0758,                 1.3072,                0.86904,                0.99706,                0.97832,                  0.715,                 1.0158,                0.73179,                 1.4303,              0.0011535,              0.0011535,              0.0011535
                     42,                 1.1505,                 1.0169,                 1.2403,                0.90082,                0.98684,                0.97607,                0.71598,                 1.0722,                0.77777,                 1.4857,               0.001151,               0.001151,               0.001151
                     43,                 1.1901,                 1.0646,                 1.2414,                0.87503,                 0.9802,                0.97996,                0.74361,                0.97474,                0.84327,                 1.3826,              0.0011485,              0.0011485,              0.0011485
                     44,                  1.201,                 1.1156,                 1.2523,                0.96491,                0.98576,                0.99135,                0.76165,                0.92501,                0.69433,                 1.3582,              0.0011461,              0.0011461,              0.0011461
                     45,                 1.1321,                 1.0466,                  1.222,                 0.9759,                0.96601,                0.98668,                0.73939,                 0.9312,                0.66547,                  1.338,              0.0011436,              0.0011436,              0.0011436
                     46,                 1.1123,                 1.0013,                 1.2508,                0.91445,                0.95652,                0.98159,                0.76058,                0.88862,                0.72561,                 1.3218,              0.0011411,              0.0011411,              0.0011411
                     47,                 1.1026,                  0.982,                 1.2292,                0.87242,                0.98893,                0.97847,                0.76704,                0.87143,                0.66816,                 1.3159,              0.0011386,              0.0011386,              0.0011386
                     48,                 1.0761,                0.91425,                 1.2249,                0.85899,                0.98684,                0.97214,                0.74275,                0.95561,                0.75085,                 1.3801,              0.0011362,              0.0011362,              0.0011362
                     49,                 1.1374,                0.99998,                 1.2257,                0.89743,                0.95845,                0.96994,                0.73019,                0.96338,                0.65501,                 1.3812,              0.0011337,              0.0011337,              0.0011337
                     50,                 1.1195,                0.94274,                 1.1928,                0.87493,                      1,                0.94411,                0.64805,                 1.1092,                 0.8251,                 1.4635,              0.0011312,              0.0011312,              0.0011312
                     51,                 1.1118,                0.99992,                 1.2186,                0.86169,                0.97201,                0.95997,                0.72014,                 1.0691,                0.94925,                 1.4765,              0.0011287,              0.0011287,              0.0011287
                     52,                 1.0923,                0.93493,                  1.199,                0.87338,                0.99753,                0.96943,                0.76538,                0.84299,                0.67622,                 1.2717,              0.0011263,              0.0011263,              0.0011263
                     53,                 1.1002,                0.99795,                  1.216,                0.91621,                0.96601,                0.98621,                0.77127,                0.92431,                0.65928,                 1.3337,              0.0011238,              0.0011238,              0.0011238
                     54,                 1.0518,                0.94738,                 1.1829,                0.87186,                0.99448,                0.97361,                0.72838,                 1.0498,                0.69163,                 1.4515,              0.0011213,              0.0011213,              0.0011213
                     55,                 1.0842,                 0.9728,                 1.2245,                0.86477,                0.99818,                 0.9567,                0.74952,                0.85701,                0.65171,                 1.2976,              0.0011188,              0.0011188,              0.0011188
                     56,                 1.1493,                 1.0192,                 1.2308,                0.86637,                0.99343,                0.95725,                0.70173,                 1.0124,                0.73927,                 1.3962,              0.0011164,              0.0011164,              0.0011164
                     57,                  1.082,                0.92843,                 1.1986,                0.87614,                 0.9981,                0.98138,                0.73448,                 1.0863,                0.66287,                 1.5007,              0.0011139,              0.0011139,              0.0011139
                     58,                 1.1125,                0.93282,                 1.1908,                0.87723,                0.98404,                0.97729,                0.73263,                 1.0519,                0.72186,                 1.4615,              0.0011114,              0.0011114,              0.0011114
                     59,                 1.1116,                0.95664,                 1.2029,                0.88027,                 0.9942,                0.98384,                0.78185,                0.84856,                0.77489,                 1.2792,              0.0011089,              0.0011089,              0.0011089
                     60,                 1.0766,                0.90162,                  1.206,                0.90947,                0.96601,                 0.9646,                0.70325,                0.95269,                 0.6336,                 1.3266,              0.0011065,              0.0011065,              0.0011065
                     61,                 1.0329,                0.87916,                 1.2159,                  0.905,                0.95833,                0.98018,                0.76473,                0.90653,                0.70838,                  1.308,               0.001104,               0.001104,               0.001104
                     62,                 1.0376,                0.91454,                 1.1997,                0.87595,                0.99261,                0.96994,                0.75687,                0.96487,                0.70691,                  1.351,              0.0011015,              0.0011015,              0.0011015
                     63,                  0.965,                0.86306,                 1.1341,                0.86963,                0.99522,                0.94901,                0.74275,                0.87715,                0.70277,                 1.3061,               0.001099,               0.001099,               0.001099
                     64,                 1.0376,                0.90688,                 1.1982,                0.89074,                      1,                0.94211,                0.71925,                0.97947,                0.64519,                 1.3782,              0.0010965,              0.0010965,              0.0010965
                     65,                 1.0356,                0.85741,                 1.1867,                0.87297,                      1,                0.97021,                0.78418,                0.82386,                0.66841,                 1.2545,              0.0010941,              0.0010941,              0.0010941
                     66,                 1.1236,                0.91509,                  1.219,                0.89462,                      1,                0.96922,                0.77914,                 0.8251,                0.58104,                 1.2634,              0.0010916,              0.0010916,              0.0010916
                     67,                 1.0549,                0.89533,                 1.1855,                 0.8888,                      1,                0.97453,                0.76355,                0.86105,                0.64558,                 1.2548,              0.0010891,              0.0010891,              0.0010891
                     68,                 1.0388,                0.87614,                  1.175,                0.86528,                      1,                0.96669,                0.74981,                 0.9176,                0.74844,                 1.3271,              0.0010866,              0.0010866,              0.0010866
                     69,                 1.0669,                0.89547,                 1.1909,                0.88359,                0.98103,                0.97421,                0.72495,                0.96881,                0.75371,                 1.3412,              0.0010842,              0.0010842,              0.0010842
                     70,                0.99469,                0.87026,                 1.1515,                0.88263,                      1,                0.98262,                 0.7782,                 0.8937,                0.62612,                 1.2835,              0.0010817,              0.0010817,              0.0010817
                     71,                 1.0083,                0.89424,                  1.157,                0.95564,                0.98203,                0.99375,                0.78119,                0.86684,                 0.6636,                 1.2678,              0.0010792,              0.0010792,              0.0010792
                     72,                0.99846,                0.82626,                 1.1446,                0.92524,                0.95181,                0.98421,                0.75639,                0.95817,                0.69572,                 1.3488,              0.0010768,              0.0010768,              0.0010768
                     73,                 0.9847,                0.80254,                 1.1503,                0.86045,                0.99443,                 0.9662,                0.75898,                0.85809,                0.69655,                 1.2592,              0.0010743,              0.0010743,              0.0010743
                     74,                0.98979,                0.81594,                 1.1264,                0.85881,                      1,                0.97234,                0.74767,                0.87419,                0.67208,                 1.2736,              0.0010718,              0.0010718,              0.0010718
                     75,                 1.0208,                 0.8302,                 1.1431,                0.86398,                      1,                0.96875,                0.77349,                0.83045,                0.59589,                 1.2344,              0.0010693,              0.0010693,              0.0010693
                     76,                 1.0013,                0.78911,                 1.1413,                 0.8683,                      1,                0.97439,                0.77209,                0.87783,                0.59941,                 1.2773,              0.0010669,              0.0010669,              0.0010669
                     77,                0.96604,                 0.7439,                 1.1194,                0.86562,                      1,                  0.978,                0.78222,                0.80713,                0.61824,                 1.2312,              0.0010644,              0.0010644,              0.0010644
                     78,                 1.0342,                0.79617,                 1.1286,                0.89443,                0.98315,                0.97289,                0.77667,                0.81607,                0.62892,                 1.2277,              0.0010619,              0.0010619,              0.0010619
                     79,                 1.0101,                0.80254,                 1.1352,                0.86984,                0.99483,                0.97053,                0.77993,                 0.8355,                0.66639,                 1.2498,              0.0010594,              0.0010594,              0.0010594
                     80,                0.94876,                  0.752,                 1.1361,                0.86956,                      1,                0.97787,                0.77056,                0.88016,                0.59337,                 1.2794,               0.001057,               0.001057,               0.001057
