                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0791,                 9.7821,                 4.4816,                      0,                      0,                      0,                      0,                 5.5216,                 7.7701,                 4.1635,              0.0001375,              0.0001375,              0.0001375
                      2,                 4.7641,                  8.612,                  4.297,                      0,                      0,                      0,                      0,                 5.5341,                 7.8044,                  4.172,             0.00028608,             0.00028608,             0.00028608
                      3,                 4.3627,                 7.9762,                 4.1011,                      0,                      0,                      0,                      0,                 5.5626,                 7.8921,                 4.1901,             0.00043317,             0.00043317,             0.00043317
                      4,                 3.7562,                 7.8608,                 3.5511,                      0,                      0,                      0,                      0,                 5.6124,                 7.6714,                 4.2281,             0.00057878,             0.00057878,             0.00057878
                      5,                 3.8051,                 7.0109,                 3.4612,                      0,                      0,                      0,                      0,                 5.6562,                 6.9328,                 4.2681,              0.0007229,              0.0007229,              0.0007229
                      6,                 3.5257,                 6.1957,                 3.1916,                      0,                      0,                      0,                      0,                 5.7352,                 6.5729,                 4.3576,             0.00086553,             0.00086553,             0.00086553
                      7,                 3.3102,                 6.0652,                 2.9606,                      0,                      0,                      0,                      0,                 5.8136,                 7.1135,                  4.457,              0.0010067,              0.0010067,              0.0010067
                      8,                 3.1628,                  5.164,                 2.8564,                      0,                      0,                      0,                      0,                 5.8395,                 7.6047,                 4.4978,              0.0011464,              0.0011464,              0.0011464
                      9,                 2.6898,                 4.6187,                 2.5506,                      0,                      0,                      0,                      0,                 5.7659,                 8.3614,                 4.4063,              0.0012005,              0.0012005,              0.0012005
                     10,                 2.6865,                 3.9906,                 2.4774,                      0,                      0,                      0,                      0,                 5.4018,                 8.0525,                 4.0847,              0.0012005,              0.0012005,              0.0012005
                     11,                 2.4479,                 3.7999,                 2.2953,                0.00032,                0.08333,                0.01544,                0.00563,                 4.2448,                  6.286,                 3.2574,              0.0011943,              0.0011943,              0.0011943
                     12,                 2.4981,                 3.7229,                 2.0959,                0.39988,                0.16905,                0.20731,                0.10577,                 2.5197,                 4.4046,                  2.371,              0.0011881,              0.0011881,              0.0011881
                     13,                 2.1803,                 3.0852,                 2.1313,                 0.5566,                0.30272,                0.41223,                0.19393,                 2.2886,                 4.1504,                 2.1537,              0.0011819,              0.0011819,              0.0011819
                     14,                 2.1317,                 3.2039,                 1.9859,                0.47833,                0.43887,                0.46311,                0.25426,                 2.0156,                 2.5364,                 1.9417,              0.0011757,              0.0011757,              0.0011757
                     15,                 2.0873,                  3.047,                 1.9478,                0.53421,                 0.3787,                0.44209,                0.22072,                 2.0449,                 2.6019,                 1.9544,              0.0011696,              0.0011696,              0.0011696
                     16,                 1.8876,                 2.9672,                 1.9185,                0.55674,                0.43431,                0.54174,                0.30873,                 1.8207,                 2.2622,                 1.7828,              0.0011634,              0.0011634,              0.0011634
                     17,                 1.8328,                 2.5788,                 1.8393,                0.51904,                0.58452,                0.59665,                0.32753,                 1.8168,                 2.1614,                 1.7697,              0.0011572,              0.0011572,              0.0011572
                     18,                 1.8154,                 2.4575,                 1.7449,                0.56739,                0.67488,                0.72055,                0.36577,                 1.8248,                 2.0862,                 1.7046,               0.001151,               0.001151,               0.001151
                     19,                 1.7722,                 2.3879,                 1.7893,                0.70448,                0.57465,                0.67418,                0.34636,                 1.7181,                 1.9945,                 1.6466,              0.0011448,              0.0011448,              0.0011448
                     20,                 1.7438,                 2.3325,                 1.6922,                0.63049,                0.66102,                 0.7328,                0.40456,                 1.7188,                 2.1056,                 1.6489,              0.0011386,              0.0011386,              0.0011386
