                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0791,                 9.7821,                 4.4816,                      0,                      0,                      0,                      0,                 5.5216,                 7.7701,                 4.1635,              0.0001375,              0.0001375,              0.0001375
                      2,                 4.7619,                 8.6394,                 4.3093,                      0,                      0,                      0,                      0,                 5.5341,                 7.8046,                  4.172,             0.00028693,             0.00028693,             0.00028693
                      3,                 4.3569,                 8.0873,                   4.07,                      0,                      0,                      0,                      0,                 5.5612,                 7.8938,                 4.1908,             0.00043577,             0.00043577,             0.00043577
                      4,                  3.746,                 7.9029,                 3.5464,                      0,                      0,                      0,                      0,                 5.6132,                  7.681,                 4.2305,             0.00058401,             0.00058401,             0.00058401
                      5,                 3.5454,                 6.9619,                  3.387,                      0,                      0,                      0,                      0,                 5.6287,                 7.0005,                 4.2475,             0.00073166,             0.00073166,             0.00073166
                      6,                 3.4131,                  6.086,                  3.167,                      0,                      0,                      0,                      0,                 5.6248,                 5.9718,                 4.2542,             0.00087871,             0.00087871,             0.00087871
                      7,                 3.3121,                 5.9322,                 2.9551,                      0,                      0,                      0,                      0,                 5.5606,                 6.8545,                 4.2106,              0.0010252,              0.0010252,              0.0010252
                      8,                 2.9752,                 5.0303,                 2.8167,                      0,                      0,                      0,                      0,                 5.4981,                  7.115,                 4.1516,               0.001171,               0.001171,               0.001171
                      9,                 2.6481,                 4.5767,                 2.5528,                      0,                      0,                      0,                      0,                 5.6208,                 8.0655,                 4.2569,              0.0012302,              0.0012302,              0.0012302
                     10,                 2.6152,                 4.0934,                 2.4641,                      0,                      0,                      0,                      0,                 5.5897,                 6.9296,                 4.2234,              0.0012302,              0.0012302,              0.0012302
                     11,                 2.4013,                 3.6535,                 2.2687,                0.00016,                0.04167,                  9e-05,                  4e-05,                 5.3328,                  6.195,                 4.0197,              0.0012277,              0.0012277,              0.0012277
